entity,frequency
cll,3364
leukemia,3081
chronic lymphocytic,2615
patients,2045
acalabrutinib,1416
treatment,1069
chronic lymphocytic leukemia,1033
ibrutinib,789
cancer,758
calquence,709
lymphoma,704
chronic,680
venetoclax,671
lymphocytic,654
relapsed,646
covid,614
fda,596
astrazeneca,528
luciacalabru аналог калквенс calquenceакалабрутиниб,512
описание,512
показа,512
study,506
trial,496
via,487
drug,485
clinical,462
&amp,448
approves,419
ash,400
therapy,394
data,363
cells,361
may,349
approved,340
results,337
btk,331
combination,310
patient,308
new,305
imbruvica,293
one,287
research,284
great,280
drugs,278
rituximab,278
mutations,276
learn,276
treat,275
targeted,272
diagnosed,270
see,267
today,265
phase,263
potential,250
disease,250
approval,248
survival,246
blood,243
risk,239
shows,236
refractory,235
leukaemia,231
obinutuzumab,231
adult,230
years,227
first,227
treatments,224
early,222
previously,221
plus,221
gets,218
treated,217
options,217
people,217
time,216
sll,215
small lymphocytic,214
untreated,213
bcell,209
use,207
asco,206
know,203
good,203
trials,203
therapies,201
treating,200
work,199
outcomes,197
read,197
novel,192
adults,191
available,186
review,185
hematology,183
inhibitor,183
response,182
latest,182
oncology,182
help,180
diagnosis,178
chronic lymphocytic leukemia cll,178
could,178
roche,177
common,177
looking,175
powerful,175
high,173
year,172
researchers,172
get,172
role,171
inhibitors,171
need,167
like,167
efficacy,166
cell,166
two,165
analysis,164
important,162
cancers,162
check,162
day,160
mantle cell lymphoma,160
associated,159
effective,159
leusm,159
new kind,157
better,157
next,157
impact,155
suggest,154
found,154
join,153
presented,151
another,149
oral,149
used,148
many,148
abbvie,147
mcl,147
rates,146
cancer drug effective,145
older,144
advances,143
management,143
chemotherapy,142
still,140
find,140
also,139
including,139
pfs,139
existing,137
venclexta,137
uses,137
using,136
nonhodgkin,136
coronavirus,135
care,135
idelalisib,134
shot,133
agents,133
aml,133
chemoimmunotherapy,133
frontline,132
eu ok,132
cancer drug,131
lymsm,131
live,130
benefit,130
best,130
genetic,129
week,129
severe,129
bcl,128
positive,126
without,126
cart,125
health,125
published,125
improves,124
last,123
responses,123
eha,123
mabtherea,123
type,122
safety,121
mrd,120
thanks,120
watch,120
free,120
highrisk,118
prognostic,118
promising,118
test,118
mantle cell,117
refractory chronic lymphocytic leukemia,117
longterm,116
recent,116
blood cancer,116
targeting,116
studies,116
start,116
resistance,115
malignancies,115
current,114
living,114
discuss,114
clinicaltrial,113
bloodcancer,112
article,112
based,112
discusses,111
support,111
firstline,110
chroniclymphocyticleukemia,110
says,110
take,109
myeloma,108
update,108
activity,108
report,108
forward,108
updates,108
life,108
testing,107
effects,107
improved,107
progression,106
talk,105
combo,105
showed,104
way,103
immunotherapy,103
pharma,102
taking,102
story,102
team,102
share,102
nice,101
remission,101
deletion,101
future,100
among,100
sequencing,100
improve,99
want,99
well,99
standard,99
would,99
pts,99
bloodcancerawareness,99
granted,98
refractory chronic lymphocytic,98
interesting,98
experts,98
make,98
presentation,98
ofatumumab,98
small,97
meeting,96
expert,96
group,96
prior,96
working,96
video,95
part,95
hope,95
types,94
abnormality,94
thank,94
leading,94
ash_hematology,94
duvelisib,93
higher,92
nhl,92
symptoms,91
$azn,91
case,91
us_fda,91
complete,91
paper,91
exciting,90
multiple,90
full,90
following,90
increased,89
received,88
medication,88
richter,88
specific chromosomal,88
therapeutic,88
mantle,87
medical,87
key,87
going,87
bruton,87
dna,86
updated,86
second,86
immune,86
medicine,85
strategies,85
show,85
register,85
experience,85
three,85
hear,85
monotherapy,84
rare,84
love,84
cll in,84
r r,84
relapsed chronic lymphocytic,84
cases,83
come,83
back,83
era,82
link,82
infection,82
age,82
look,82
transformation,82
please,82
big,81
compared,80
made,80
cure,80
recently,80
less,80
present,79
overall,79
got,79
shares,79
session,79
approach,79
primary,79
combined,79
promise,79
patterns,79
breakthrough,78
chemo,78
form,77
factors,77
miss,77
umbralisib,77
reduced,76
initial,76
recommended,76
long,76
excited,76
info,76
firstline treatment,76
mdandersonnews,75
remissions,75
interview,75
months,75
tolerability,75
global,75
proud,75
mutation,75
tcell,75
month,75
questions,75
major,75
due,75
day capsule,74
expression,74
danafarber,74
much,74
fcr,74
prognosis,74
according,73
reports,73
astrazeneca calquence,73
acute,73
ublituximab,73
melanoma,73
con,72
top,72
world,72
days,72
someone,72
stage,72
target,71
linked,71
access,71
presenting,71
car t,71
grants,71
webinar,71
line,71
information,71
patientpower,70
lymphocytes,70
evolution,70
iwcll,70
option,69
science,69
discussion,69
led,69
leukemia treatment,69
think,69
findings,69
online,68
manage,68
molecular,68
give,68
nejm,68
amazing,68
light,68
leukemia rx gets green light,68
provide,68
clinicaltrials,68
regimen,68
elderly,68
cell lymphoma,68
development,68
follow,68
healthcare,67
gazyva,67
morning,67
us fda,67
least,67
coming,67
inhibition,67
discussing,66
announced,66
focus,66
consider,66
collaboration,66
cml,66
even,66
disease progression,66
$abbv,66
tomorrow,66
treatment option,65
different,65
evidence,65
really,65
superior,65
signaling,65
international,65
understanding,65
treatmentnaïve,65
wait,65
starting,64
excellent,64
pacientes,64
chlorambucil,64
active,64
blood cancer drug,64
changes,64
onclive,64
progress,64
bendamustine,64
colleagues,63
bloodjournal,63
alone,63
cll sll,63
met,63
levels,63
evaluating,63
insights,63
llsusa,63
event,62
doctors,62
guidelines,62
include,62
changing,62
practice,62
happy,62
highlights,62
lenalidomide,62
developing,62
seen,62
related,61
significantly,61
chronic lymphocytic leukemia venetoclax,61
across,61
cllsm,61
status,60
meet,60
identified,60
outcome,60
monoclonal,60
challenges,60
bone marrow,60
anthonymatomd,60
$tgtx,60
follicular,60
might,60
arzerra,60
presents,60
let,60
sure,59
provides,59
single,59
markers,59
endpoint,59
final,59
events,59
dlbcl,59
showing,59
developed,59
importance,59
improvement,58
company,58
phase trial,58
every,58
pivotal,58
learning,58
progressionfree,58
features,58
receiving,57
enrolling,57
regulatory,57
&gt,57
ighv,57
congratulations,57
ago,57
followup,57
side,57
done,57
durable,57
low,57
announces,57
breaking,56
toxicity,56
tyrosine kinase,56
indications,56
models,56
open,56
lead,56
cll at,56
often,56
said,56
safe,55
derives,55
others,55
clonal,55
genomic,55
demonstrates,55
feel,55
visit,55
death,55
post,55
action,55
value,55
develop,55
setting,55
family,55
area,54
placebo,54
landscape,54
since,54
bloodcancerawarenessmonth,54
offer,54
around,54
soon,54
managing,54
relapse,53
called,53
cost,53
certain,53
receives,53
click,53
stop,53
complications,53
car tcell,53
hodgkin,52
approaches,52
receive,52
prescription,52
currently,52
stay,52
gene,52
randomized,52
emerging,52
infections,52
news,52
making,52
genes,52
phase study,52
sharing,52
cancerresearch,52
friends,52
right,52
understand,51
lymphocytosis,51
details,51
implications,51
convenient,51
end,51
win,51
pik,51
complex,51
change,51
panel,51
conference,51
history,51
say,50
always,50
dose,50
allogeneic,50
things,50
regarding,50
number,50
fight,50
september,49
keep,49
predict,49
issue,49
as well,49
per,49
antibodies,49
youtube,49
society,49
four,49
biotech,49
lymphomas,48
specific,48
yet,48
needs,48
epigenetic,48
priority review,48
abstract,48
reveals,48
sloan_kettering,48
interested,48
btki,48
several,48
aggressive,47
association,47
shared,47
effect,47
together,47
advanced,47
given,47
incidence,47
europe,47
already,47
real,47
getting,47
identify,47
longer,47
bcr,47
continue,47
weeks,47
activation,46
virtual,46
move,46
away,46
small lymphocytic lymphoma,46
forbes,46
talks,46
protein,46
ongoing,46
night,46
poster,46
zanubrutinib,46
quality,46
participate,46
within,45
initial therapy,45
opportunity,45
affects,45
younger,45
adding,45
helping,45
able,45
community,45
improving,45
talking,45
lower,45
kinase,45
become,45
scientists,45
overview,45
genentech,45
ever,45
drmdavids,45
project,44
syndrome,44
poor,44
field,44
looks,44
encouraging,44
accelerated,44
program,44
european,44
likely,44
doctor,44
orphan,44
needed,44
increase,44
cell therapy,43
launch,43
nextgeneration,43
listen,43
acerta,43
untreated chronic lymphocytic,43
weillcornell,43
young,43
combining,43
ready,43
highly,43
generation,43
del,43
old,43
targets,42
started,42
tumor,42
never,42
upcoming,42
benefits,42
american,42
model,42
treatmentnaive,42
thoughts,42
play,42
addition,42
evaluation,42
question,42
sustained,42
resonate,42
mechanisms,42
notch,42
induces,41
changed,41
deep,41
developments,41
biosimilar,41
tests,41
marrow,41
osuccc_james,41
man,41
murano,41
mayoclinic,41
sign,41
rate,41
welcome,41
success,41
cll with,41
challenge,41
dont,41
growth,41
out of,40
los,40
set,40
therapeutics,40
pembrolizumab,40
knowledge,40
profiling,40
step,40
chronic lymphocytic leukemia nejm,40
everyone,40
view,40
cllsociety,40
market,40
green,40
involved,40
explains,39
states,39
assess,39
significant,39
microenvironment,39
regimens,39
tonight,39
extended,39
education,39
reported,39
starts,39
summary,39
course,39
bad,39
seeking,39
pathways,39
adverse,39
evolving,39
place,39
minimal residual,39
comparison,38
home,38
function,38
something,38
mutated,38
cause,38
special,38
lymphocytic leukemia,38
chemotherapyfree,38
loophole,38
calavi,38
peripheral,38
similar,38
combinations,38
nodes,38
assay,38
anyone,38
apoptosis,38
personalized,38
ask,38
detect,38
initiates,38
takes,38
large,38
attend,38
expanded,38
supporting,37
wins,37
breakthrough therapy designation,37
lymph,37
pathway,37
sessions,37
presentations,37
optimal,37
insight,37
provided,37
selective,37
receptor,37
lives,37
shown,37
worldcancerday,37
control,37
outlook,37
pandemic,37
dad,37
agent,37
healthy,37
drug acalabrutinib,37
reduce,37
est,37
human,37
expected,37
resources,37
inflammation,37
congrats,37
tell,37
actively,36
respiratory,36
toxicities,36
giving,36
advance,36
fantastic,36
gives,36
costs,36
remains,36
makes,36
abstracts,36
continues,36
impressive,36
hospitalized,36
numbers,36
meded,36
jeff_sharman,36
anticd,36
identifies,36
loved,36
studying,36
pharmaceutical,36
cellular,36
left,36
fludarabine,36
journey,36
decisions,36
una,36
exclusive astrazeneca calquence shows early promise,36
finally,36
fighting,35
must,35
behind,35
response rate,35
recommendations,35
call,35
application,35
monitoring,35
tgr,35
issues,35
med,35
ibrutinib in,35
mutational,35
perspective,35
orr,35
biological,35
qualify,35
ahead,35
finding,35
comprehensive,35
lab,35
finds,35
stories,35
late,35
partners,35
supplemental,35
us food,35
multiplemyeloma,35
april,35
differences,35
proliferation,35
treatment landscape,34
biomarkers,34
potentially,34
hallekmichael,34
strong,34
point,34
list,34
march,34
added,34
influence,34
novartis,34
cure_magazine,34
chronic lymphocytic leukaemia,34
ibrutinibrituximab,34
drug designation,34
date,34
suggests,34
closer,34
boosts,34
median,34
haematology,34
successful,34
lymphoid,34
little,34
pathogenesis,34
lifestyle,34
follicular lymphoma,34
missed,34
recurrent,34
answer,34
members,34
antigen receptor,34
dynamics,34
majority,34
mds,34
predicts,34
hematologic,34
thought,34
leukemiamda,34
reuters,33
difference,33
zurich reuters drugmaker roche,33
speaking,33
indication,33
phase iii,33
happening,33
biology,33
mining,33
person,33
times,33
comparing,33
explore,33
game,33
mmsm,33
icml,33
bring,33
perspectives,33
leads,33
venclyxto,33
chimeric,33
safety profile,33
zydelig,33
chance,33
