entity,tweet_author,sentiment
Phase II_CLL,Hematopoiesis News,neutral
(),"Michael Wang, MD",neutral
AstraZenecas #Calquence_CLL,1stOncology,neutral
CLL Early View  Haematologica,Toby Eyre,neutral
lymsm_lymphoma,Lymphoma Hub,positive
CLL,David Ledger,positive
(),N Wales Cancer Forum,neutral
#leukaemia#oncology #,European Pharmaceutical Review,neutral
Superstar_NICE_CLL,Graham Collins,positive
CLL_Ibrutinib_yesterday_Pirtobrutinib,CLL Ireland,positive
Optimal Management_HighRisk_March_G Subramanian Mumbai_Harshit Khurana,Mice Ideas,negative
CLL_@StevenShanu,Farooq A Wandroo,positive
today_Thursday th March_The National Institute for Health and Care Excellence NICE_CLL_England,Leukaemia Care,neutral
rituximab FCR_rituximab BR,Helen Oram,neutral
today_Thursday_March,HealthWatch,negative
CLL,PHARMABOX.IN,positive
CLL,Pharma Trader,positive
CLL,Everything Pharma,positive
CLL,IJPSonline,positive
CLL,Iceberg Vision,positive
CLL,PharmaTimes,positive
CLL,Paperbirds_Hematology,neutral
BiotechNews_HealthcareNews_PharmiwebNews,Pharma News,positive
UK_CLL_Ireland_@JanRynne @DonnellyStephen @HSELive_@IPPOSI,CLL Ireland,positive
@DaiichiSankyo_Nilemdo_Nustendi #_heor,pharmaphorum,neutral
CLL_UK_FCR_CLLEnjoyed_Trustees Marc Auckland_CLL_@bloodcancer_uk,Toby Eyre,positive
Japanese_lymsm,Lymphoma Papers,negative
Japanese_CLL,Paperbirds_Hematology,neutral
Congress_KTEX_#_lymsm,Lymphoma Hub,neutral
CLL,Trip Database,negative
@CHANEL,Osgood,positive
Acalabrutinib Umbralisib_Ublituximab_#,Paperbirds_Hematology,neutral
Solidarity,Thiago Carvalho,negative
ICYMI_LYMSM_CLL,Kartos Therapeutics,neutral
SRL_Argentina_Janssen Vaccines &,Apoli Naria,neutral
Maria_FDA_Ibrutinib FDA_FDA_Brexucarbatagene Autoleucel FDA,"Michael Wang, MD",positive
(),Cardio-Targets,neutral
lymsm,Lymphoma Papers,negative
CLL,Paperbirds_Hematology,neutral
(),Cardio-Targets,neutral
CLL,Paperbirds_Hematology,neutral
BTK_Ibrutinib_TGTherapeutics,Jeff Sharman,negative
Rituximab_#,Paperbirds_Hematology,neutral
(),IM Médico,neutral
Physician Views Preview_US_AstraZeneca s Calquence_AZN,FirstWord Pharma,positive
ELEVATERR,"CancerNetwork®, Home of the Journal ONCOLOGY®",neutral
CLL Research Acalabrutinib,"Tom Henry, MBA, RPh, CPh",neutral
Comparing_l_Leukemia,Medivizor,neutral
(),mednetnews,negative
(),AJMC,negative
CALQUENCE Beneficial_CLL Study Shows_CLL,Patient Worthy,neutral
CLL_CLL,Paperbirds_Hematology,neutral
(),Cat,neutral
#TCTM #_chronicGVHD,Hemalatha Rangarajan MD,neutral
EndUsers Application Hospital Clinic Market Share Forecast Data InDepth Analysis,mednetnews,neutral
rel ref CLL,Bita Fakhri,positive
HTA ID,NCPE,neutral
Beitrag_Schmerz_Leukämie #Immuntherapie_Neutropenie_Unverträglichkeiten_Zulassung_Studie,JOURNAL ONKOLOGIE,negative
Dr Danilov @OHSUNews_#_CLL_SLL_MedEd_MedTwitter_Healthcare,Oncology Learning Network,neutral
CLL_recent years,Oncology Learning Network,positive
CLL,OncLive.com,neutral
Comparing_Leukemia,Medivizor,neutral
Chronic Lymphocytic_#n= #,TrialSite News,neutral
(),Trip Database,neutral
Japan_#chronicillness #_Lyfebulb,Lyfebulb,negative
#,OncLive.com,negative
Imbruvica,The Medical Ed Cons.,negative
ELEVATERR,"CancerNetwork®, Home of the Journal ONCOLOGY®",neutral
Imbruvica,CarnivoresHealth,negative
Imbruvica,Portfolio Penny,negative
Imbruvica,FancyFinancy,negative
Imbruvica,Robo Schmobo,negative
Imbruvica,Financial Carnivores,negative
lymsm,Lymphoma Hub,neutral
un_chez les_Leucémie Lymphoïde Chronique Retrouvez_Findrugs_#_#hématologie,NetCancer,neutral
two_#_one_#cardiology #_#,DMGAZ,negative
mantle cell #lymphoma_#,Amit Patel🇬🇧,negative
CLL,Blood Advances,neutral
Imbruvica,The Medical Ed Cons.,negative
HighRisk_CLL,Silas Inman,neutral
HighRisk_CLL,OncLive.com,neutral
#,Targeted Oncology,negative
Five_Tuesday_January_Calquence@Merck_@CNBC @moderna_tx,AnalySource: Premier Drug Pricing Services,positive
Johnson &_Johnson_AbbVie_BTK_Imbruvica_$JNJ_pharma,Helix BioPharma,positive
Johnson &_Johnson_AbbVie_BTK_Imbruvica_$JNJ_pharma,AlphaBronze,positive
Trial Against Ibrutinib_Chronic Lymphocytic_Mantle_CLL,TrialSite News,neutral
AZ_Calquence_Imbruvica_AstraZeneca,Plexus Ventures,neutral
(),Toby Eyre,neutral
The European Medicines Agency Review of Acalabrutinib_Chronic Lymphocytic Leukemia_CLL,Paperbirds_Hematology,neutral
Japan,BiopharmaAsia,negative
ChronicLymphocyticLeukemia,1stOncology,neutral
Japan,1stOncology,neutral
Imbruvica_Find,Bio_Talent,neutral
Ibrutinib_ChronicLymphocyticLeukaemia,1stOncology,neutral
testa contro_nella_linfocitica cronica,Roberto Bonin,neutral
#Calquence_CLL_CardioOnc,Taro Shiga,neutral
Imbruvica,Susan,neutral
Monday_Quick Takes_Comirnaty_Australia_Hong Kong_Phase III_CLL,BioCentury,positive
Three years_Calquence_second_BTK_AbbVie_first_Imbruvica,Endpoints News,neutral
Imbruvica_#OncologyTopNews #Oncology,Pharma Top News,negative
